ts_code,name,industry
002102.SZ,冠福股份,医疗保健
002103.SZ,广博股份,信息技术
002104.SZ,恒宝股份,信息技术
002105.SZ,信隆健康,可选消费
002106.SZ,莱宝高科,信息技术
002107.SZ,沃华医药,医疗保健
002108.SZ,沧州明珠,材料
002109.SZ,兴化股份,材料
002110.SZ,三钢闽光,材料
002111.SZ,威海广泰,工业
002112.SZ,三变科技,工业
002114.SZ,罗平锌电,材料
002115.SZ,三维通信,可选消费
002116.SZ,中国海诚,工业
002117.SZ,东港股份,工业
002119.SZ,康强电子,信息技术
002120.SZ,韵达股份,工业
002121.SZ,科陆电子,工业
002122.SZ,汇洲智能,工业
002123.SZ,梦网科技,信息技术
002124.SZ,天邦食品,日常消费
002125.SZ,湘潭电化,材料
002126.SZ,银轮股份,可选消费
002127.SZ,南极电商,可选消费
002128.SZ,电投能源,材料
002129.SZ,TCL中环,信息技术
002130.SZ,沃尔核材,工业
002131.SZ,利欧股份,可选消费
002132.SZ,恒星科技,材料
002133.SZ,广宇集团,房地产
002134.SZ,天津普林,信息技术
002135.SZ,东南网架,工业
002136.SZ,安纳达,材料
002137.SZ,实益达,可选消费
002138.SZ,顺络电子,信息技术
002139.SZ,拓邦股份,信息技术
002140.SZ,东华科技,工业
002141.SZ,贤丰控股,工业
002142.SZ,宁波银行,金融
002144.SZ,宏达高科,可选消费
002145.SZ,中核钛白,材料
002146.SZ,荣盛发展,房地产
002148.SZ,北纬科技,信息技术
002149.SZ,西部材料,材料
002150.SZ,通润装备,工业
002151.SZ,北斗星通,工业
002152.SZ,广电运通,信息技术
002153.SZ,石基信息,信息技术
002154.SZ,报喜鸟,可选消费
002155.SZ,湖南黄金,材料
002156.SZ,通富微电,信息技术
002157.SZ,*ST正邦,日常消费
002158.SZ,汉钟精机,工业
002159.SZ,三特索道,可选消费
002160.SZ,常铝股份,材料
002161.SZ,远望谷,信息技术
002162.SZ,悦心健康,工业
002163.SZ,海南发展,工业
002164.SZ,宁波东力,工业
002165.SZ,红宝丽,材料
002166.SZ,莱茵生物,医疗保健
002167.SZ,东方锆业,材料
002168.SZ,惠程科技,信息技术
002169.SZ,智光电气,工业
002170.SZ,芭田股份,材料
002171.SZ,楚江新材,材料
002172.SZ,澳洋健康,医疗保健
002173.SZ,创新医疗,医疗保健
002174.SZ,游族网络,信息技术
002175.SZ,东方智造,工业
002176.SZ,江特电机,工业
002177.SZ,御银股份,信息技术
002178.SZ,延华智能,信息技术
002179.SZ,中航光电,信息技术
002180.SZ,纳思达,信息技术
002181.SZ,粤传媒,可选消费
002182.SZ,宝武镁业,材料
002183.SZ,怡亚通,工业
002184.SZ,海得控制,工业
002185.SZ,华天科技,信息技术
002186.SZ,全聚德,可选消费
002187.SZ,广百股份,可选消费
002188.SZ,中天服务,房地产
002189.SZ,中光学,信息技术
002190.SZ,成飞集成,可选消费
002191.SZ,劲嘉股份,工业
002192.SZ,融捷股份,材料
002193.SZ,如意集团,可选消费
002194.SZ,武汉凡谷,信息技术
002195.SZ,岩山科技,信息技术
002196.SZ,方正电机,工业
002197.SZ,证通电子,信息技术
002198.SZ,嘉应制药,医疗保健
002199.SZ,东晶电子,信息技术
002200.SZ,ST交投,工业
002201.SZ,正威新材,材料
002202.SZ,金风科技,工业
002203.SZ,海亮股份,材料
002204.SZ,大连重工,工业
002205.SZ,国统股份,工业
002206.SZ,海利得,材料
002207.SZ,准油股份,能源
002208.SZ,合肥城建,房地产
002209.SZ,达意隆,工业
002210.SZ,飞马国际,工业
002211.SZ,宏达新材,材料
002212.SZ,天融信,信息技术
002213.SZ,大为股份,信息技术
002214.SZ,大立科技,信息技术
002215.SZ,诺普信,材料
002216.SZ,三全食品,日常消费
002217.SZ,合力泰,信息技术
002218.SZ,拓日新能,信息技术
002219.SZ,新里程,医疗保健
002221.SZ,东华能源,能源
002222.SZ,福晶科技,信息技术
002223.SZ,鱼跃医疗,医疗保健
002224.SZ,三力士,材料
002225.SZ,濮耐股份,材料
002226.SZ,江南化工,材料
002227.SZ,奥特迅,工业
002228.SZ,合兴包装,材料
002229.SZ,鸿博股份,工业
002230.SZ,科大讯飞,信息技术
002231.SZ,奥维通信,信息技术
002232.SZ,启明信息,信息技术
002233.SZ,塔牌集团,材料
002234.SZ,民和股份,日常消费
002235.SZ,安妮股份,材料
002236.SZ,大华股份,信息技术
002237.SZ,恒邦股份,材料
002238.SZ,天威视讯,可选消费
002239.SZ,奥特佳,可选消费
002240.SZ,盛新锂能,材料
002241.SZ,歌尔股份,信息技术
002242.SZ,九阳股份,可选消费
002243.SZ,力合科创,材料
002244.SZ,滨江集团,房地产
002245.SZ,蔚蓝锂芯,工业
002246.SZ,北化股份,材料
002247.SZ,聚力文化,工业
002248.SZ,华东数控,工业
002249.SZ,大洋电机,工业
002250.SZ,联化科技,材料
002251.SZ,*ST步高,日常消费
002252.SZ,上海莱士,医疗保健
002253.SZ,川大智胜,信息技术
002254.SZ,泰和新材,材料
002255.SZ,海陆重工,工业
002256.SZ,兆新股份,公用事业
002258.SZ,利尔化学,材料
002259.SZ,ST升达,公用事业
002261.SZ,拓维信息,信息技术
002262.SZ,恩华药业,医疗保健
002263.SZ,大东南,材料
002264.SZ,新华都,信息技术
002265.SZ,建设工业,可选消费
002266.SZ,浙富控股,工业
002267.SZ,陕天然气,能源
002268.SZ,电科网安,信息技术
002269.SZ,美邦服饰,可选消费
002270.SZ,华明装备,工业
002271.SZ,东方雨虹,材料
002272.SZ,川润股份,工业
002273.SZ,水晶光电,信息技术
002274.SZ,华昌化工,材料
002275.SZ,桂林三金,医疗保健
002276.SZ,万马股份,工业
002277.SZ,友阿股份,可选消费
002278.SZ,神开股份,能源
002279.SZ,久其软件,信息技术
002280.SZ,联络互动,信息技术
002281.SZ,光迅科技,信息技术
002282.SZ,博深股份,工业
002283.SZ,天润工业,可选消费
002284.SZ,亚太股份,可选消费
002285.SZ,世联行,房地产
002286.SZ,保龄宝,日常消费
002287.SZ,奇正藏药,医疗保健
002288.SZ,超华科技,信息技术
002289.SZ,ST宇顺,信息技术
002290.SZ,禾盛新材,可选消费
002291.SZ,遥望科技,信息技术
002292.SZ,奥飞娱乐,可选消费
002293.SZ,罗莱生活,可选消费
002294.SZ,信立泰,医疗保健
002295.SZ,精艺股份,材料
002296.SZ,辉煌科技,信息技术
002297.SZ,博云新材,工业
002298.SZ,中电兴发,信息技术
002299.SZ,圣农发展,日常消费
002300.SZ,太阳电缆,工业
002301.SZ,齐心集团,工业
002302.SZ,西部建设,材料
002303.SZ,美盈森,材料
002304.SZ,洋河股份,日常消费
002305.SZ,南国置业,房地产
002306.SZ,中科云网,信息技术
002307.SZ,北新路桥,工业
002308.SZ,威创股份,信息技术
002309.SZ,ST中利,工业
002310.SZ,东方园林,工业
002311.SZ,海大集团,日常消费
002312.SZ,川发龙蟒,材料
002313.SZ,日海智能,信息技术
002314.SZ,南山控股,房地产
