trade_date,open,high,low,close,volume
2021-07-29,6720.6164,6773.5669,6682.1185,6758.8869,17101788500.0000
2021-07-30,6739.7545,6775.0062,6702.5114,6767.3160,18971173400.0000
2021-08-02,6756.8132,6875.4159,6731.7761,6872.0004,20620517300.0000
2021-08-03,6844.3695,6879.5933,6792.7117,6816.0107,19418943200.0000
2021-08-04,6814.0846,6931.7808,6813.2280,6931.3365,17406434700.0000
2021-08-05,6920.9393,6946.3354,6880.6905,6911.8292,17937188500.0000
2021-08-06,6929.0226,6947.5356,6885.6471,6938.8679,17235691200.0000
2021-08-09,6914.3218,6989.7057,6877.1951,6979.5256,17383337100.0000
2021-08-10,6970.8257,7019.6854,6958.8054,7019.2284,17308796200.0000
2021-08-11,7024.7685,7076.3726,6999.9332,7073.5219,18835790600.0000
2021-08-12,7059.4673,7115.8874,7051.0132,7095.2024,19407912500.0000
2021-08-13,7070.4711,7124.9216,7050.3051,7088.8876,19219060400.0000
2021-08-16,7087.5802,7102.3958,7039.1029,7052.4876,18817888600.0000
2021-08-17,7045.7547,7063.0175,6876.4991,6894.4042,20193637200.0000
2021-08-18,6883.2663,6950.8846,6865.0658,6941.0080,17536733100.0000
2021-08-19,6917.5093,6978.9832,6869.2927,6947.0564,17181358900.0000
2021-08-20,6915.0178,6952.5192,6843.0023,6920.0248,17562713900.0000
2021-08-23,6949.3323,7031.8840,6949.3323,7024.5647,18945660800.0000
2021-08-24,7031.6481,7098.0287,7009.6901,7090.7817,20272689500.0000
2021-08-25,7092.1469,7153.2740,7058.5714,7153.0043,19812689000.0000
2021-08-26,7151.5304,7175.5115,7115.8445,7118.8442,23017619600.0000
2021-08-27,7096.6546,7185.7274,7083.2112,7180.1088,22383046300.0000
2021-08-30,7202.6263,7262.6044,7190.6143,7226.8823,25064914800.0000
2021-08-31,7202.5239,7255.3418,7159.3023,7255.3418,24510834200.0000
2021-09-01,7271.0338,7278.1558,7100.3070,7193.1000,29552014000.0000
2021-09-02,7172.3989,7309.3317,7172.3989,7307.0084,25341169800.0000
2021-09-03,7335.6955,7385.2425,7227.0348,7278.6809,28880124000.0000
2021-09-06,7297.3609,7359.5367,7231.7285,7355.4013,25587515300.0000
2021-09-07,7360.3829,7501.1262,7350.6962,7498.9255,26072754100.0000
2021-09-08,7496.3344,7549.4542,7483.8711,7544.0411,27284780800.0000
2021-09-09,7534.9816,7617.6574,7526.9689,7617.4505,28720406800.0000
2021-09-10,7613.6040,7661.4261,7564.2611,7607.6749,29346864200.0000
